----- Neuer Export von 2019-05-03 -----
Maracujasaft,Weißer Rum,Orangensaft,Gin,Vodka,Contreau,Ananassaft,Brauner Rum,Cola,Fanta,Grapefruitsaft,Sprite,Tequilla
264,191,84,53,51,20,0,0,0,0,0,0,0
----- Gesamte Mengen über Lebenszeit -----
Maracujasaft,Weißer Rum,Orangensaft,Contreau,Brauner Rum,Ananassaft,Cola,Gin,Vodka,Fanta,Grapefruitsaft,Sprite,Tequilla
697,655,388,291,281,247,212,177,78,0,0,0,0
 
